acceleration
1.668847808837890625e+02
1.771210174560546875e+02
1.784703826904296875e+02
1.768207702636718750e+02
1.916455535888671875e+02
1.816429901123046875e+02
1.845623016357421875e+02
1.964481658935546875e+02
1.760573883056640625e+02
1.799375915527343750e+02
1.947455596923828125e+02
1.749641571044921875e+02
1.975187988281250000e+02
1.986490020751953125e+02
1.728186035156250000e+02
1.876691131591796875e+02
1.653159942626953125e+02
1.614464111328125000e+02
1.781880340576171875e+02
1.632876739501953125e+02
1.771475372314453125e+02
1.637355194091796875e+02
1.795468292236328125e+02
1.645938720703125000e+02
1.784568328857421875e+02
1.786553802490234375e+02
2.489060516357421875e+02
2.675082092285156250e+02
2.423830108642578125e+02
1.145228424072265625e+02
2.798871154785156250e+02
1.264817504882812500e+02
2.630000000000000000e+02
2.822330017089843750e+02
1.249115066528320312e+02
2.597977294921875000e+02
2.757566833496093750e+02
1.246565475463867188e+02
2.621854858398437500e+02
2.881754150390625000e+02
2.747813415527343750e+02
2.492518463134765625e+02
2.672994079589843750e+02
1.123264083862304688e+02
2.508704376220703125e+02
2.442297210693359375e+02
2.617693481445312500e+02
2.345437774658203125e+02
2.431663970947265625e+02
2.448736267089843750e+02
2.608410949707031250e+02
2.466980743408203125e+02
2.590880432128906250e+02
2.427382202148437500e+02
2.656321411132812500e+02
