MAX(g)
356.12146
262.14325
262.28946
281.6665
373.95224
377.05817
380.26376
357.44693
270.92395
354.07877
350.67978
261.20004
261.4795
254.80202
260.60156
260.4819
260.44208
370.42502
357.4832
266.1122
267.80435
264.31873
349.08215
354.35492
362.64175
311.7093
308.36807
297.0987
294.5092
292.06708
293.54395
293.43118
296.30093
286.51593
313.16098
313.51215
314.7426
314.62955
310.74445
313.09827
310.71942
297.1505
294.0867
299.2975
295.43625
297.97308
255.93832
155.66394
176.13808
271.33405
175.155
273.9341
271.33405
252.77396
258.83414
261.83533
163.54948
252.85593
153.932
235.82817
238.28531
275.51035
264.58224
146.61086
155.23952
157.46152
157.46152
264.7556
237.8455
237.8455
240.27998
241.50055
243.94835
242.72331
241.50055
239.48854
274.50262
270.85068
270.76358
264.62143
257.2346
255.84387
253.08667
247.83582
273.55402
258.51608
251.42618
259.82513
257.17938
